id,cn_name,en_name,cover,categories,region,duration,release_date,score
43,小鞋子,بچههای آسمان,https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c,剧情、家庭,伊朗,89 分钟,,8.8
44,熔炉,도가니,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@464w_644h_1e_1c,剧情,韩国,125 分钟,2011-09-22,8.8
45,大话西游之大圣娶亲,A Chinese Odyssey Part Two - Cinderella,https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@464w_644h_1e_1c,喜剧、爱情、奇幻,中国香港、中国大陆,110 分钟,2014-10-24,8.9
46,新龙门客栈,New Dragon Gate Inn,https://p1.meituan.net/movie/7833126c8c21a11571bb52fbdece0acb811449.jpg@464w_644h_1e_1c,动作、爱情、武侠、古装,中国香港、中国大陆,88 分钟,2012-02-24,8.9
47,触不可及,Intouchables,https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg@464w_644h_1e_1c,剧情、喜剧,法国,112 分钟,2011-11-02,8.9
48,钢琴家,The Pianist,https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c,剧情、音乐、传记、历史、战争,法国、德国、英国、波兰,150 分钟,2002-05-24,8.9
49,本杰明·巴顿奇事,The Curious Case of Benjamin Button,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c,剧情、爱情、奇幻,美国,166 分钟,2008-12-25,8.9
50,倩女幽魂,A Chinese Ghost Story,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c,爱情、奇幻、武侠、古装,中国香港,98 分钟,2011-04-30,8.9
51,哈利·波特与死亡圣器（下）,Harry Potter and the Deathly Hallows: Part 2,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c,剧情、悬疑、奇幻、冒险,英国、美国,130 分钟,2011-08-04,8.9
52,甜蜜蜜,Comrades: Almost a Love Story,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c,剧情、爱情,中国香港,118 分钟,2015-02-13,8.9
53,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c,剧情、动作、科幻、惊悚、犯罪,美国、英国,165 分钟,2012-08-27,8.9
54,鬼子来了,Devils on the Doorstep,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c,剧情、战争,中国大陆,139 分钟,2000-05-13,8.8
55,无敌破坏王,Wreck-It Ralph,https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c,喜剧、动画、奇幻、冒险,美国,101 分钟,2012-11-06,8.8
56,致命魔术,The Prestige,https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c,剧情、悬疑、惊悚,美国、英国,130 分钟,2006-10-17,8.8
57,神偷奶爸,Despicable Me,https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c,喜剧、动画、冒险,美国、法国,95 分钟,2010-06-20,8.8
58,断背山,Brokeback Mountain,https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c,剧情、爱情、家庭,美国、加拿大,134 分钟,2005-09-02,8.8
59,怦然心动,Flipped,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c,剧情、喜剧、爱情,美国,90 分钟,2010-07-26,8.8
60,驯龙高手,How to Train Your Dragon,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c,喜剧、动画、奇幻、冒险,美国,98 分钟,2010-05-14,8.8
61,飞屋环游记,Up,https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c,剧情、喜剧、动画、冒险,美国,96 分钟,2009-08-04,8.8
62,黑客帝国3：矩阵革命,The Matrix Revolutions,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c,动作、科幻,美国、澳大利亚,129 分钟,2003-11-05,8.8
63,速度与激情5,Fast Five,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c,动作、犯罪,美国,130 分钟,2011-05-12,8.9
